headline,cluster
"Alcoa's Downstream Business Is Worth $8-$11 Per Share According To Morgan Stanley, Says Aerospace EBITDA Should Rise 9% CAGR btwn 2015-2019",8
Domtar Welcomes Investment By Schlumberger in CelluForce,0
"Wells Fargo Sends International Speedway, Speedway Motorsports To The Pit",5
Scandinavia Is Looking Good,3
Option Alert: Molina May $60 Call; 2500 Contract Trade above Ask @$1.20; Now $58.36,8
UPDATE: Domino's Confrence Call Ends,3
"Benzinga's Top Upgrades, Downgrades For December 5, 2019",5
60 Stocks Moving In Tuesday's Mid-Day Session,4
ServiceMagic Names Chris Terrill as Chief Executive Officer (IACI),0
Hillenbrand shares are trading lower after the company purchased Milacron Holdings for $2 billion in cash.,3
Centrus Energy Reports Q3 EPS ($6.05) Vs Prior $55.51,1
Gold And Gold Miners Give Up 2014 Gains,3
"Detwiler Fenton Bullish On Darden, Expects Performance Across Banners To Remain Strong In Q4, Expects Traffic To be Resilient In Lieu Of Cost Cutting Measures",2
"Jefferies & Company Maintains Abercrombie & Fitch at Buy, Lowers PT from $60 to $50",5
"Benzinga Pro Morning Price Check For Regional ETFs: Brazil (EWZ) Up 1.7%, Russia (RSX) Up 1.3%, Japan (EWJ) Up 1.2%, Mexico (EWW) Up 0.3%, India (INDA) Up 0.2%, Europe (VGK) Up 0.1%, Australia (EWA) Up 0.1%, US (SPY) Up 0.1%",5
"Top Narrow Based Indexes For July 28 (AFFX, HTM, STBUY)",0
"Stifel Nicolaus Upgrades Norfolk Southern to Buy, Announces $189 Price Target",5
"Arrowhead Pharmaceuticals shares are trading higher after Cantor Fitzgerald upgraded the stock from Neutral to Overweight and announced a price target of $60 per share. UPDATE: Shares have since reversed, now lower.",5
"ETFs To Watch August 4, 2011",0
"UBS Initiates Coverage On General Dynamics with Neutral Rating, Announces $210 Price Target",5
Dollar General Corporation Reports Q3 EPS of $0.76 vs $0.80 Est; Revenue of $4.72B vs $4.75B Est,1
3 Legitimate Catalysts Driving The Illegitimate Rally In Shipping Stocks,0
UPDATE: Stifel Reiterates on Peabody Energy as Australian Mine Issues Force 4Q13 Warning,5
Notable Put Options Activity in Bank of New York Mellon Corporation,5
SolarCity Completes Private Placement of $185M,8
Mid-Morning Market Update: Markets Mostly Flat; BlackBerry Results Beat Estimates,3
President Obama Says Extremely Low Potential for Ebola Outbreak in US,2
30 Stocks Moving In Thursday's Mid-Day Session,4
Must Watch Stocks for Today,4
Horizon Pharma Announces USPTO Issuance of an Additional Notice of Allowance With Claims Covering VIMOVO Delayed Release Tablets,2
"Earnings Scheduled For July 18, 2013",3
"Top 4 Stocks In The Air Services, Other Industry With The Highest ROE (AIRM, AAWW, BRS, ASR)",0
"Stifel Maintains Buy on Magellan Midstream, Lowers Price Target to $56",5
Jefferies Reiterates Hold On Eaton Vance (EV),5
"Symantec Says Company ""Under Attack"" By Shareholders -Reuters (SYMC)",2
Barclays Downgrades Forum Energy Technologies to Equal-Weight,5
Varian Acknowledges Receipt of Competing Bid by Sirtex from CDH Investments,3
"Telecom Italia Says Began Negotiations With Open Fiber Related To Strategic Options, Received Added Non-Binding Offer For Persidera Unit",8
Stocks That Hit 52-Week Lows On Thursday,9
"Jefferies Assumes Xenon Pharmaceuticals at Buy, Raises Price Target to $23",5
"FBR Capital Initiates Coverage On JCP, ARO, URBN, LULU, JWN, KSS, CHS, AEO, M, CWTR, ANN, ANF",0
Targacept Files $200M Mixed-Securities Shelf Registration,8
"Evercore Partners Initiates Coverage on Independent Bank Group at Overweight, Announces $33.00 PT",5
"Drybulk Stocks Trading Higher as Global Hunter Upgraded Star Bulk, Baltic Trading to Buy, Eagle Shipping, Genco to Neutral",0
Hearing Fed's Kaplan Says Favors Taking No Fed Action In First Couple Quarters,8
Expedia Loses French Commercial Court Ruling,5
"UPDATE: President of China's Boyalife (Hong Kong), Ltd. Acquires 20.3% Stake in Cesca Therapeutics",8
"Northland Securities Initiates Coverage on Clearfield at Outperform, Announces $17.50 PT",5
Donald Trump Tweets: Rand Paul is a friend of mine but he is such a negative force when it comes to fixing healthcare. Graham-Cassidy Bill is GREAT! Ends Ocare!,5
"FireEye Reports Q2 EPS loss $0.41 Vs Est Loss $0.48, Sales $147.2 Vs Est $143.12M",1
"Benzinga's Top Upgrades, Downgrades For August 16, 2018",5
"Earnings Scheduled For October 28, 2013",3
74 Biggest Movers From Yesterday,7
Shares of several industrial companies are trading higher as markets rebound following Monday's selloff. US President Trump on Monday suggested the US is considering a payroll tax cut to relieve the negative economic effects of the coronavirus.,3
"Twin Disc Reports Q1 EPS $(0.24) vs $(0.29) Est., Sales $35.8M vs $38.1M Est.",1
Wells Fargo Upgrades Targa Resources to Outperform,5
"10 Stocks To Watch For September 27, 2018",4
"Stephens Downgrades Atlas Air Worldwide Holdings from Overweight to Equal-weight, Lowers PT from $67 to $50",5
National Instruments Shares Rise $2.02 After-Hours; Robert Sluymet Mentioned the Stock on CNBC's Fast Money,8
"Citigroup Maintains Buy on Avery Dennison, Raises Price Target to $132",5
Navistar Skips Incentive Chase To Get Electric Trucks To Diesel Price Parity,8
Agile Therapeutics shares are trading lower after the company announced a proposed underwritten public offering of common stock. No size was disclosed.,3
Shares of several oil and gas companies are trading higher after President Trump said he expects Russia and Saudi Arabia to announce a 10 million barrel supply cut.,3
Benzinga's Top #PreMarket Losers,5
"China Jo-Jo Drugstores Q3 EPS $0.02 Up From $(0.06) YoY, Sales $33.36M Up From $30.917M YoY",1
BioMarin Enrolls First Patentin in Phase Vosoritide Trial,2
"US Judge Denies Coca-Cola Bid to Dismiss Consumers' Claims Related to Labeling of Simply Orange, Minute Maid Juice",8
SemGroup Earlier Announced Will Sell Mexican Asphalt Business For $70M,8
"Week Ahead Trading Preview (RIMM, ORCL, GIS, ACN, FDX, BBY)",3
"Option Alert: AXL Apr '17 $19 Call Sweep: Volume of 1,893 vs Open Interest of 601",8
"Benzinga Pro Morning Price Check For Sector ETFs: Financials (XLF) Up 0.3%, Staples (VDC) Up 0.3%,Healthcare (IYH) Flat 0.04%, Industrials (VIS) Down 0.2%, Retail (XRT) Down 0.4%, Technology (XLK) Down 1.1%, Energy (XLE) Down 1.2%",5
"Benzinga's M&A Chatter for Monday September 15, 2014",5
"Cramer Advises His Viewers On Beyond Meat, Texas Instruments And More",3
UPDATE: Powis Says Unfortunately Deaths Will Continue To Increase For A Few Weeks Yet,3
Boomerang Generation: Between Freedom and Fetters,3
Option Alert: New Res Inv Tr Nov17 18.0 Calls Sweep: 590 @ ASK $0.25: 722 traded vs 814 OI: Earnings 5/4 Before Open [est] $15.40 Ref,8
"Maximus Q2 EPS $0.84, Inline, Sales $612.8M Miss $616.04M Estimate",1
"The Oxen Group Initiates Albermarle, Ashland, Celanese, Dow Coverage",0
PG&E Option Alert: Feb 1 $8 Calls Sweep (2) near the Ask: 1984 @ $0.801 vs 4298 OI; Earnings 2/8 Before Open [est] Ref=$7.6699,8
"Mid-Morning Market Update: Markets Open Mixed, Ford Q1 Profit Rises",3
"Cytori Reports Q1 Adj. EPS $(0.26) vs $(0.28) Est., Sales $1.6M vs $2.5M Est.",1
"Deutsche Bank Reiterates Cardtronics Buy, $25 PT (CATM)",5
Top 4 Stocks In The Home Improvement Stores Industry With The Highest Revenue Estimates,0
65 Biggest Movers From Friday,7
Bank of America Downgraded Rockwell Automation to Underperform,5
"Envision Healthcare Hldgs Q2 EPS $0.92 Beats $0.87 Estimate, Sales $2.073B Miss $2.09B Estimate",1
"Carlyle Group Q4 EPS $0.56 vs $0.44, Sales $648.8M vs $593.8M",1
Notable Call Options Activity in JA Solar,8
Assurant Hits 52-Week High of $43.19,6
"EXCLUSIVE: Benchmark's Kurnos Believes IAC 'Would Definitely Get the Greatest Amount of Synergies from Angie's,' While Another Possible Suitor Would Need to Build Out",8
"Earnings Scheduled For November 1, 2016",3
Qwest Beats on Better Revenue Trend - Analyst Blog,3
"Stein Mart Shares Halted, News Pending",3
From Earlier: LiveDeal Announces Receipt of NASDAQ Compliance Determination,0
"Silver Wheaton Will Outperform Silver Sector in 2011, Poll Says",3
"Citigroup Maintains Neutral on Yahoo!, Raises PT to $38.00",5
Conagra Q3 Sales $3.88B vs $3.87B est,1
Neuralstem Reports Winning Of $1M Grant By NIH To Continue Preclinical Research Into Potential Of NSI-189 For Treatment Of Diabetic Neuropathy,2
ADA-ES Signs $19 Million Contract with DOE,8
Arris Spikes Higher After Resumption of Trade Following Pace Acquisition Announcement,3
Aflac Affirms 2016 EPS And Sales Guidance,1
"8-K from MVC Capital Shows Co., US Gas & Electric, James Wiser Entered Merger Deal with Crius Energy Trust, Verengo, Mace Merger Sub",8
"Whole Foods Market Unveils New Streamlined, Value-Focused Brand: '365 by Whole Foods Market'",3
Astronics Announces 10% Class B Stock Distribution,0
"UPS Shares Quiet Amid Raised FedEx Target at Argus, Story Amazon Will Be Refunding Customers Shipping Costs as UPS Missed Some Deliveries",8
"Apricus Expands Exclusive License Agreement With Sandoz Affiliate, Apricus to Receive Up to $63M in Milestone Payments",8
Mid-Morning Market Update: US Markets Open Higher; Bank of America Reports Q1 Net Loss,3
Traders Continue to Buy Calls on CA Inc. (CA),3
"Stocks Which Set New 52-Week Low Yesterday, September 26th",0
"Patrick Industries Earlier Reported Q1 EPS $0.9 Beats $0.88 Estimate, Sales $608.218M Beat $595.67M Estimate",1
"Rubicon Technology Malaysian Polishing Facility Earns Key Endorsements, Begins Volume Production of Large Diameter Sapphire Wafers",8
17 Energy Stocks Moving In Tuesday's Pre-Market Session,4
An Affordable Glow: New Product Is Revolutionizing The Skincare Industry,3
"Ur-Energy Late Friday Reported Q4 EPS $0.00 vs $(0.02) Est., Sales $38.37M vs $27.31M In Same Period Prior Year",1
Rovi Corporation Issues Letter to Stockholders; Responds to Engaged Capital,2
"Sherwin-Williams, Valspar Extend Term Of Merger Agreement From Mar. 21st To June 21st, 2017",8
Pfizer Raises Guidance,5
"Stocks Which Set New 52-Week Low Yesterday, September 11th",0
J&J's Janssen Confirms FDA Panel Votes Against Approval of XARELTO for Use in Patients with ACS,2
"Option Alert: Noki May 8 Call; 9,602 Contract Trade Between Bid and Ask @$0.46 Currently $7.61",8
Nvidia Raises Dividend From $0.14 To $0.15,8
"UK Government Expected To Back Amendment Confirming PM May's Commitment To Hold Votes On Brexit Deal, No-Deal And Brexit Delay",8
"Wells Fargo Earlier Maintained Overweight on Home Depot, Lowered Price Target to $195",5
"Morning Social Media Outlook for Tuesday Mar 6 (SHFL, HAR, PCX, NTRI)",3
"Keep an Eye on These 10 Stocks for May 5, 2015",4
"Regulatory Arguments Hampering Options Trading On PALL, PPLT",3
Mid-Day Market Update: Nutanix Climbs After Strong Q3 Results; GameStop Shares Plummet,3
"Stocks Which Set New 52-Week High Friday, September 21",0
"Raymond James Financial Reports May AUM $63.3B, Securities Commissions Down ~0.3%",8
Shares of several technology stocks are trading lower amid demand and supply chain disruption concerns driven by coronavirus.,3
42 Stocks Moving In Tuesday's Mid-Day Session,4
Morning Market Losers,3
"Earnings Scheduled For September 16, 2015",3
"Golar LNG Reports Interim Q1 Results: Operating Loss $41.4M, EBITDA $16.2M",1
"ETFs To Watch June 1, 2010 (VGK, SMN, SGG, TAO)",0
Mid-Morning Market Update: Markets Mixed; AT&T To Buy DirecTV For $48.5B,3
"Mid-Day Market Update: AOL Surges On Barclays Upgrade, Cliffs Drops",3
"Got Good Credit? These Countries Do, But For How Long?",3
Detwiler Fenton Sees iPhone Sales At Risk Of Being Down YoY Heading Into March Quarter 2015,2
"Magellan Midstream Q1 Adj. EPS $1.280 Beats $1.030 Estimate, Sales $782.806M Beat $683.970M Estimate",1
"ETFs to Watch December 21, 2011",0
July 2014 UK CPI 1.6% vs 1.8% exp y/y via ForexLive,1
"Apple Shares Unaffected Following Co. Press Release Highlighting Second-Generation iPhone SE, Starting At $399",3
PNC Expects Q1 Average Loans To Be Up About 1% From Q4,1
Mid-Day Market Update: US Stocks Turn Lower; NGL Energy Partners Shares Spike Higher,3
"Compass Point Upgrades American International Gr to Buy, Raises Price Target to $56",5
5 Stocks Which Plummeted Three Days On Increasing Volume,0
41 Biggest Movers From Yesterday,7
Warren Buffett Retires From Washington Post Board,0
"UBS Maintains Neutral on FireEye, Raises PT to $18.00",5
"Gordon Johnson: Sell GATX Corp, Rail Leasing Rates Look Scary",3
"China Halts Stock Market Rally (AA, CAT, X, BUCY, GLD)",3
UnitedHealth To Buy Diplomat Pharmacy For $300M,5
M&T Bank Corporation (MTB) Reports $151 Million In First-Quarter Profit,8
Stocks That Hit 52-Week Highs On Monday,6
Hearing Drexel Upgraded NXP Semiconductor To Buy,2
"PMC - Sierra, Inc. Reports Q1 EPS of $0.07 vs $0.08 Est; Revenue of $125.20M vs $127.77M Est",1
"Top 4 Stocks In The Residential Construction Industry With The Highest Dividend Yield (MDC, KBH, DHI, LEN)",0
"BofA Adjusts Q3'14 Results, Records Added $400M Litigation Expense, Adjusts Q3 Loss of $0.04/Share",1
Stocks That Hit 52-Week Highs On Thursday,6
Markets Open Higher; Michael Kors Results Beat Street View,3
Benzinga's Volume Movers,5
S-1/A Filing From FCB Financial Shows 25.9M Class A Common Offering,8
Stocks That Hit 52-Week Lows On Thursday,9
"Life Technologies Spikes Higher, May be Attributed to Renewed Takeover Chatter",3
"Guggenheim Securities Upgrades Energy XXI (Bermuda) Limited to Buy, Maintains $19.00 PT",5
Stocks Which Set New 52-Week High Yesterday,0
Forbes Energy Services Reports Selected Operating Data for November 2011; Total Rig Hours +51% YoY,8
"Intersil's New High-Voltage Precision Operational Amplifier Operates at 20 Percent Lower Noise, Consumes 30 Percent Less Power Than Competing Solutions",8
"BMO Capital Markets Maintains Kimberly-Clark at Market Perform, Raises PT from $80 to $89",5
"Could Today See DJIA at 25,000? Major Milestone Draws Near For Index",3
Mid-Morning Market Update: Markets Mostly Higher; GE Profit Beats Estimates,3
"Green Dot Q4 EPS $0.14 Beats $0.11 Estimate, Sales $249.3M Beat $238.49M Estimate",1
ConAgra Foods Acquires Blake's All Natural Foods for Cash; Terms Not Disclosed,3
"Deutsche Bank Raises Workday Price Target From $105 To $115, Says Buy-Side Sentiment Remains Bullish And Management's Tone Remains 'Solid' With Q4 Earnings Approaching Feb. 27th",5
"Abbott, Novo Nordisk Report Partnership To Provide Integrated Digital Solution to People with Diabetes Using Insulin",2
"General Dynamics Reports Q4 Adj. EPS $2.50 vs $2.38 Est., Sales $8.3B vs $8.41B Est.",1
Ingersoll-Rand Board Will Review Proposals From Nelson Peltz,3
Benzinga's Top #PreMarket Gainers,5
MedAssets Signs Partnership Agreement with Attainia for Unique Construction Services Capabilities,8
"Option Alert: Altera Jan $35 Call; 6,069 Contracts Traded vs 1,712 OI; Currently $34.43",8
"Earnings, Econ Numbers And The Beige Book Pepper The Second Round of The WeTrader Competition",3
"REIT ETFs: Investor's Starting To Take Notice (VNQ, IYR, ICF, RWR, FTY, FRI, IFNA)",0
Benzinga's Top Initiations,5
UPDATE: Nautilus Sees Q4 Sales ~$109M vs $109.5M Est.,1
SoCal Edison Announces New Contract with EnerNOC,8
Symantec Earnings Preview: Analysts Expect Flat EPS Over Last Quarter,3
25 Stocks Moving In Tuesday's Pre-Market Session,4
Sonoco Announces Robert Tiede COO,8
Deutsche Bank Downgrades Discover Financial to Hold,5
20 Stocks Moving in Thursday's Pre-Market Session,4
"Wayfair Reports Q4 EPS -$0.73 Vs Est $-$0.28, Sales $408.6M Vs Est $368.80M",1
Fast Money Picks For November 9,3
"Top 4 Stocks In The Sporting Goods Industry With The Highest Cash (ELY, RGR, POOL, NLS)",0
"Earnings Scheduled For October 18, 2017",3
DTE Energy Company Sees FY2015 EPS $4.43-4.67 vs $4.60 Est,1
Navistar International Corporation Reports Q2 EPS of $(4.65); Revenue of $2.53B,1
"B. Riley FBR Maintains Buy on Insight Enterprises, Lowers Price Target to $67",5
"Willbros GroUp, Inc. Reports Q3 EPS of $(0.02) vs $0.08 Est",1
Calls Purchased on News Corp. (NWSA),2
Atmel Expands Metering Platform For Advanced Smart Energy Applications,8
Checking In: Trying To Find Shelter From The Storm,3
"Jacobs Secures Engineering Services Agreement with TransCanada, Terms Not Disclosed",8
"ETFs To Watch July 26, 2010 (FXE, DDM, EWZ, TNA)",0
Benzinga's Top Upgrades,5
Piper Jaffray Reiterates Overweight Rating on ReachLocal Inc. (RLOC),5
Recap: Costamare Q1 Earnings,1
"Shares of several companies in the broader healthcare sector are trading lower amid market weakness despite recent strength from many names in the space. Equities are down for the session following cautious comments from US Fed Chair Powell, which forecast uncertainty and downside risk. Some regions of the US have extended lockdown restrictions, including Washington D.C. and Los Angeles County.",3
"Short Interest Swings in Biotech Stocks (BIIB, GILD, VVUS)",9
54 Biggest Movers From Friday,7
"Cypress Semi, Spansion Report Effectiveness of SEC Registration, Japanese FTC Approval",8
Barnes & Noble shares are trading lower after the company said it may have to reduce earnings guidance by as much as 10% due to higher advertising spend.,3
Jones Energy Offering 5M Shares At $10/Share,8
Is This Value Stock a One Trick Pony?,0
"Raymond James Maintains Outperform on iStar, Raises Price Target to $17",5
"Shares of several technology companies are trading lower amid market weakness, selling off from recent sector strength. Equities have moved lower for the session, potentially related to cautious comments from Fed Chair Powell, who suggested uncertainty and 'significant' downside risks in the economy.",3
Amended 13D Filing from Dan Loeb's Third Point on Sotheby's Just Hitting SEC's EDGAR Site,2
"Baird Upgraded Symantec Corporation to Outperform, Raised PT to $30.00",5
Mid-Morning Market Update: Markets Mixed; GameStop Lowers Profit Forecast,3
"Grainger Reports Oct. Sales Growth 7%, US Sales Growth 10%, Canadian Sales Fell 4%",1
"Spruce Point Capital Issues 'Strong Sell' Report On XPO Logistics, Sees 40%-60% Intermediate Downside Risk And Up To 100% Long-Term Downside",3
Glen Burnie Bancorp Reports Q1 EPS $0.10 vs. Prior Year Quarter $0.14,1
Stocks to Watch for Friday 7/29/2011: Fresh 52-Week Highs and Lows,4
"Stocks That Will Be Trading Ex Dividend Thurs., Nov. 29, 2018",0
"Morgan Stanley Maintains Equal-Weight on Electronic Arts, Raises Price Target to $126.00",5
"James Altucher Says 3.5% Vringo Settlement Could be Worth Up to $500M; Seems ""Pretty Good""",2
"Wolverine World Wide Says Maintains $1.75B Credit Facility, Draw Down Strengthens Cash Position Resulting In ~$450M In Cash On Hand",5
FE Upgraded To Buy At Citigroup,5
Invesco Mortgage Capital Q3 EPS $0.47 Beats $0.45 Estimate,1
Quantum Appoints Bassam Tabbara as Chief Technology Officer,0
"Short Interest Rises in Facebook, Zynga (FB, YELP, ZNGA)",3
HC2 to Acquire 50%+ Interest in DTV America; Terms Not Disclosed,8
Morning Market Movers,3
"Earnings Scheduled For March 27, 2018",3
"FTI Consulting, Inc. Sees FY2013 EPS $2.40-2.60 vs $2.51 Est; Sees Sales $1.63B-1.70B vs $1.61B Est",1
"21vianet Announces Will Invest in Aipu, to Own 50% Stake, Terms Not Disclosed",8
"Cantor Fitzgerald Maintains Datalink at Buy, Raises PT from $10.5 to $11.5",5
Stocks Hitting 52-Week Highs,6
"Benzinga's Top Upgrades, Downgrades For February 8, 2019",5
"US Stock Futures Slightly Lower Ahead of Jobless Claims, Existing-Home Sales Data",3
Might The Stock Market Recover From Earlier Declines?,3
"Fiat Chrysler CEO Says Any Potential Partner Has To Have A Multi-Brand Strategy Similar To That Of FCA, 'Can not imagine how tie-up with Ford could work'",8
"Coverage Initiated On (KITD, SM, SNI, PERY, PEG)",0
"Cisco, Nike And ETFs: Fast Money Picks For November 17",3
Morning Market Losers,3
"IBM Reports Purchase of Promontory, No Terms Disclosed",8
"Benzinga's Top ETF Decliners, May 12th (AGQ, BAL, SOXS, BOM)",5
Stocks That Hit 52-Week Lows On Thursday,9
Short Interest in Alpha Natural and Walter Energy Continues to Rise,0
"Morgan Stanley Maintains Hudson Pacific Properties at Equal-weight, Raises PT from $15 to $16",5
"Fast Money Picks For September 28th (MOS, PCL, JBLU, BAC, JNPR)",3
"Towers Watson Guides FY2012 EPS $4.85-5.00 vs $4.85 Est, Revenue $3.4-3.5B vs $3.44B Est",1
Neovasc Provides Update on its Tiara Mitral Valve Clinical Program,2
First South Bancorp Reports Quarter Ended EPS $0.20 vs $0.15 In Prior Year Period,1
Checking In On GrubHub's Earnings Streak,3
4 Retail Stocks with Great Value & Earnings Growth Potential,0
Global-Tech Advanced Innovations Announces Return to Profitability for Second Quarter of Fiscal 2012,3
"Divergences Galore; Market Remains Indecisive (USO, UNG, APA, DVN, RRC, GAS, X, MT, AKS, NUE, FCX, NEM)",3
Stocks That Hit 52-Week Highs On Thursday,6
Bank of America Upgrades SanDisk to Buy,5
"Bank of America Initiates Coverage On Shiloh Industries with Neutral Rating, Announces $9.50 Price Target",5
Mad Money Lightning Round: Cramer Likes Coca-Cola,3
"Brookfield Asset Mgmt Q1 FFO $0.55 vs $0.69 In Same Qtr. Last Year, EPS $(0.20) vs $0.39 Year Over Year",1
"Moves in Smaller Tech Stocks (BV, FARO, HURC, UPIP)",4
"Stocks To Watch For May 27, 2014",4
Longbow Research Downgrades Carpenter Tech to Neutral,5
Marten Transport Reports Q1 EPS $0.25 vs $0.23 Est; Revenues $151.5M vs $156.8M Est,1
"Short Interest in Groupon, Twitter On The Rise (GRPN, TWTR, ZNGA)",0
Morgan Stanley Downgrades NVO To Equal Weight,5
"Seeing Some Shipper Stocks Sink, Led By Diana Containerships -9.72%, Euroseas -6.67%, Diana Shipping -1.01%; Notable Outliers Are DryShips +1.25%, Top Ships +4.9247%",0
Hearing Trump Admin To Cancel Thousands Of Chinese Student Visas From Certain Universities With Ties To The Chinese Govt,8
"Benzinga's Microcap Movers for Wednesday April 25, 2012",5
Traffic Issues Continue To Plague The Gap,3
Top 4 Mid-Cap Stocks In The Drug Manufacturers-Other Industry With The Highest ROA,0
"Index Shuffling: Snyder's-Lance Will Replace California Resources In S&P MidCap 400, AMAG Pharma To Replace Diamond Foods In SmallCap 600",3
"Stocks Which Set New 52-Week High Yesterday, October 3rd",0
"Compass Point Maintains BB&T at Neutral, Lowers PT from $33 to $32",5
"Earning, Economic and IPO Calendar for Wednesday June 25, 2014",3
Brent Rises On Increased Demand From China,3
"UPDATE: Vertex Says Adverse Events, Discontinuations with Kalydeco/Tezacaftor Combo Low, Similar to Placebo",2
Mad Money Lightning Round: Cramer Likes Snap-on,3
Mid-Day Market Update: Dow Tumbles 150 Points; Pandora Shares Jump Following Wednesday's CRB Ruling,3
Ultragenyx and Kyowa Kirin Announce FDA Approves Label Update for Crysvita for the Treatment of X-Linked Hypophosphatemia,2
Sunshine Heart Reports FDA Approves Key Protocol Amendment for COUNTER HF(TM) US Pivotal Study for C-Pulse(R) Heart Assist System,2
"Avondale Partners Upgrades Broadridge Financial Soln to Market Outperform, Raises PT to $60.00",5
Canadian Pacific Railway Reports Q2 Revenues $1.4B vs $1.37B Est,1
"Warren Buffett Talks Yahoo, Says Company 'Deteriorated Significantly'",0
10 Stocks Moving In Tuesday's Pre-Market Session,4
Stocks Hitting 52-Week Highs,6
Silvercorp Forecasts 20% Increase in Silver Production for Fiscal Year 2013,3
Seacor Announces Entry Into Revolving Credit Facility,5
Morning Market Losers,3
68 Stocks Moving In Wednesday's Mid-Day Session,4
Post Holdings Q3 Earnings Preview,1
Earnings Expectations for the Week of February 18,3
Progress Software shares are trading lower after the company issued Q1 and 2019 guidance below estimates.,3
"Credit Suisse Maintains Outperform on Wayfair, Raises Price Target to $135",5
"Universal Security Instruments Reports Q3 EPS $(0.44) From $(0.24) YoY, Sales $3.56M From $3.18M YoY",1
"Stocks Which Set New 52-Week Low Yesterday, Thurs., Dec. 13, 2018",0
Jefferies on JA Solar: Share Buyback Not Right Strategy,8
Options Brief: J.B. Hunt Transport Services (JBHT),3
"Stocks Which Set New 52-Week Low Friday, October 26th",0
"Stifel Nicolaus Upgrades AutoZone, Inc. to Buy",5
J.P. Morgan Updates ACGL 1Q Estimates,5
Strategists Warn About The Financial Sector As The Financial ETF Sets A New 52-Week High,0
35 Stocks Moving In Wednesday's Mid-Day Session,4
National Bank Financial Upgrades TransAlta to Outperform,5
"Oppenheimer Maintains Outperform on DexCom, Raises Price Target to $360",5
ABB shares are trading up 4.5% amid reports Hitachi is in the final stages of talks to acquire the company for $7.06 billion.,2
"Benzinga Pro Mid-Day Price Check For Major Averages: S&P 500 Down 5 (0.2%), Dow 30 Down 67 (0.3%), Nasdaq Down 35 (0.4%), Russell 2000 Down 12 (0.8%)",5
NASDAQ and ICE Making Takeover Offer for NYSE,0
"Clearwater Paper Reports Q3 Adj. EPS $0.32 vs $0.14 In Same Qtr. Last Year, Sales $426.5M vs $426.08M Est.",1
"Atwood Oceanics, Inc. Reports Q3 EPS of $1.57 vs $1.51 Est; Revenue of $292.70M vs $290.22M Est",1
Vicon Announces Patent Suit Settlement,2
10 Industrials Stocks Moving In Thursday's Pre-Market Session,4
WABCO Signs Long-Term Agreement with Dongfeng in China,8
SouFun Holdings Limited Reports Q3 EPS of $0.14 vs $0.18 Est; Revenue of $190.50M vs $200.20M Est,1
"Jefferies Initiates Altera Corporation At Buy, $52 PT",5
4 'Tariff-Proof' Stock Picks From A Pro,0
Benzinga's Top #PreMarket Gainers,5
"Earnings Preview: Analysts Expect Crown Castle International Revenue, Earnings to Dip from Previous Quarter",3
"First Solar Reports Q4 GAAP EPS $1.89 May Not Compare to $0.76 Est., Sales $1.01B vs $1.28B Est.",1
